ActivityDate,SUM of VeryActiveMinutes,SUM of FairlyActiveMinutes,SUM of LightlyActiveMinutes
2016-04-12,736,259,6567
2016-04-13,671,349,5998
2016-04-14,691,409,6633
2016-04-15,633,326,7057
2016-04-16,891,484,6202
2016-04-17,605,379,5291
2016-04-18,781,516,6025
2016-04-19,767,441,6461
2016-04-20,774,600,6515
2016-04-21,859,478,5845
2016-04-22,782,424,6257
2016-04-23,601,481,7453
2016-04-24,673,439,5962
2016-04-25,909,364,6172
2016-04-26,634,564,6408
2016-04-27,757,345,6322
2016-04-28,575,378,6694
2016-04-29,520,448,6559
2016-04-30,628,513,6775
2016-05-01,493,408,4637
2016-05-02,466,382,5418
2016-05-03,723,430,5897
2016-05-04,405,323,5214
2016-05-05,640,448,6010
2016-05-06,592,328,5856
2016-05-07,598,407,5256
2016-05-08,461,469,4990
2016-05-09,617,418,5432
2016-05-10,629,485,4663
2016-05-11,510,348,4429
2016-05-12,88,45,2075
Grand Total,19709,12688,181073
