Id,AVERAGE of minutes_asleep,Avg Sleep Hours
,#DIV/0!,#DIV/0!
1503960366,360.28,6.004666667
1624580081,#DIV/0!,#DIV/0!
1644430081,294,4.9
1844505072,652,10.86666667
1927972279,417,6.95
2022484408,#DIV/0!,#DIV/0!
2026352035,506.1785714,8.436309524
2320127002,61,1.016666667
2347167796,446.8,7.446666667
2873212765,#DIV/0!,#DIV/0!
3372868164,#DIV/0!,#DIV/0!
3977333714,293.6428571,4.894047619
4020332650,349.375,5.822916667
4057192912,#DIV/0!,#DIV/0!
4319703577,476.6538462,7.944230769
4388161847,400.173913,6.669565217
4445114986,385.1785714,6.419642857
4558609924,127.6,2.126666667
4702921684,417.4814815,6.958024691
5553957443,463.483871,7.724731183
5577150313,432,7.2
6117666160,478.7777778,7.97962963
6290855005,#DIV/0!,#DIV/0!
6775888955,349.6666667,5.827777778
6962181067,448,7.466666667
7007744171,68.5,1.141666667
7086361926,453.125,7.552083333
8053475328,297,4.95
8253242879,#DIV/0!,#DIV/0!
8378563200,445.1290323,7.418817204
8583815059,#DIV/0!,#DIV/0!
8792009665,435.6666667,7.261111111
8877689391,#DIV/0!,#DIV/0!
Grand Total,419.1731707,6.986219512
